City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
285,Pital,97,CO,1595266707,59,2.27,-75.8,79.95,7.52
286,Oborniki,20,PL,1595266708,72,52.65,16.81,70.0,8.05
287,College,40,US,1595266509,63,64.86,-147.8,64.4,5.82
288,Moussoro,63,TD,1595266543,68,13.64,16.49,79.86,15.84
289,Trincomalee,94,LK,1595266709,80,8.57,81.23,80.85,9.71
290,Cockburn Town,40,TC,1595266504,62,21.46,-71.14,87.8,13.87
291,La Rioja,20,ES,1595266438,30,42.25,-2.5,95.0,3.36
292,Ust'-Ilimsk,7,RU,1595266710,73,58.0,102.66,46.13,2.24
293,Iskateley,40,RU,1595266710,61,67.68,53.15,62.24,3.53
294,Lüderitz,0,NA,1595266710,23,-26.65,15.16,73.4,3.36
295,Broken Hill,36,AU,1595266710,66,-31.95,141.43,48.2,10.29
296,Zhigalovo,47,RU,1595266710,82,54.81,105.16,45.19,0.87
297,Kambove,0,CD,1595266711,50,-10.88,26.6,57.9,4.05
298,The Valley,20,AI,1595266575,62,18.22,-63.06,89.6,12.75
299,Te Anau,89,NZ,1595266711,89,-45.42,167.72,42.13,2.82
300,Anloga,40,GH,1595266711,83,5.79,0.9,78.8,11.41
301,Chara,100,RU,1595266711,88,56.91,118.26,55.71,1.66
302,Piaçabuçu,35,BR,1595266712,70,-10.41,-36.43,78.67,12.71
303,Puri,40,IN,1595266712,89,19.8,85.85,84.2,9.17
304,Chivay,94,PE,1595266712,23,-15.64,-71.6,61.79,7.45
305,Lázaro Cárdenas,11,MX,1595266713,59,17.96,-102.2,89.08,5.14
306,Itarema,69,BR,1595266626,61,-2.92,-39.92,84.11,16.31
307,Guerrero Negro,0,MX,1595266713,40,27.98,-114.06,85.66,6.51
308,Touros,75,BR,1595266496,88,-5.2,-35.46,78.8,6.93
309,Bowen,43,AU,1595266714,93,-20.02,148.23,62.01,5.68
310,Kharan,0,PK,1595266714,11,28.58,65.42,89.08,5.3
311,Yar-Sale,100,RU,1595266510,53,66.83,70.83,60.82,7.25
312,Terrace,90,CA,1595266592,87,54.52,-128.6,60.8,6.93
313,Cayenne,77,GF,1595266502,70,4.93,-52.33,84.2,6.93
314,Pacifica,75,US,1595266628,68,37.61,-122.49,66.99,11.41
315,Mahenge,1,TZ,1595266715,66,-8.68,36.72,60.12,2.13
316,Nishihara,20,JP,1595266715,88,26.18,127.76,82.4,5.82
317,Yatou,0,CN,1595266716,90,37.15,122.38,69.15,6.29
318,Mujiayingzi,92,CN,1595266716,49,42.12,118.78,68.4,4.25
319,Miraflores,75,MX,1595266716,46,19.22,-98.81,71.6,5.82
320,Carauari,87,BR,1595266558,44,-4.88,-66.9,93.04,4.38
321,Birao,72,CF,1595266716,89,10.28,22.79,72.99,2.77
322,Antofagasta,75,CL,1595266502,72,-23.65,-70.4,59.0,13.87
